Order No.,Tracking No,Carrier Name,Booked From,Booked Date,Delivered At,Deliver Date,Status Now
1910722,LD3438649,First Flight,delhi,28-Nov-2012,jaypore,1-Dec-2012,Delivered
1910812,ZD6716721,First Flight,delhi,29-Nov-2012,barmer,3-Dec-2012,Delivered
1910815,ZD6716933,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1910860,ZD6716934,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1910883,ZD6716725,First Flight,delhi,28-Nov-2012,noida,29-Nov-2012,Pending
1911022,ZD6716935,First Flight,delhi,28-Nov-2012,chandigarh,1-Dec-2012,Pending
1911115,ZD6716745,First Flight,delhi,28-Nov-2012,bareilly,1-Dec-2012,Pending
1911137,ZD6716750,First Flight,delhi,29-Nov-2012,lucknow,30-Nov-2012,Pending
1911200,ZD6717717,First Flight,delhi,28-Nov-2012,rajkot,3-Dec-2012,Pending
1911225,ZD6716936,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1911235,ZD6716761,First Flight,delhi,28-Nov-2012,hissar,--,In Transit[Contact]
1911277,ZD6716767,First Flight,delhi,28-Nov-2012,bikaner,--,In Transit[Contact]
1911317,ZD6716770,First Flight,delhi,28-Nov-2012,patiala,--,In Transit[Contact]
1911323,ZD6716772,First Flight,delhi,28-Nov-2012,ludhiana,1-Dec-2012,Return to Hub
1911380,ZD6716937,First Flight,delhi,28-Nov-2012,chandigarh,30-Nov-2012,Delivered
1911549,ZD6716796,First Flight,delhi,29-Nov-2012,lucknow,3-Dec-2012,Pending
1911561,ZD6716938,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1911563,ZD6716798,First Flight,delhi,28-Nov-2012,panchkula,30-Nov-2012,Pending
1911590,ZD6716802,First Flight,delhi,28-Nov-2012,bhatinda,30-Nov-2012,Pending
1911591,ZD6716803,First Flight,delhi,29-Nov-2012,shimla,--,In Transit[Contact]
1911623,ZD6716808,First Flight,delhi,28-Nov-2012,mathura,--,In Transit[Contact]
1911670,ZD6719330,First Flight,delhi,28-Nov-2012,delhi,29-Nov-2012,Delivered
1911696,ZD6716939,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1911779,ZD6719331,First Flight,delhi,28-Nov-2012,faridabad,29-Nov-2012,Delivered
1911820,ZD6716830,First Flight,delhi,28-Nov-2012,udaipur,1-Dec-2012,Pending
1911821,ZD6716831,First Flight,delhi,28-Nov-2012,panchkula,--,In Transit[Contact]
1911856,ZD6716835,First Flight,delhi,29-Nov-2012,varanasi,3-Dec-2012,Delivered
1911882,ZD6715806,First Flight,delhi,29-Nov-2012,jaipur,30-Nov-2012,Delivered
1911900,ZD6716838,First Flight,delhi,28-Nov-2012,bhatinda,30-Nov-2012,Pending
1911908,ZD6716941,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1911920,ZD6716942,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1911935,ZD6716844,First Flight,delhi,28-Nov-2012,ambala,--,In Transit[Contact]
1912018,ZD6716943,First Flight,delhi,28-Nov-2012,chandigarh,--,In Transit[Contact]
1912025,ZD6716852,First Flight,delhi,28-Nov-2012,agra,--,In Transit[Contact]
1912031,ZD6716944,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1912037,ZD6716855,First Flight,delhi,28-Nov-2012,patiala,--,In Transit[Contact]
1912043,ZD6716945,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1912050,ZD6716857,First Flight,delhi,28-Nov-2012,saharanpur,--,In Transit[Contact]
1912064,ZD6716858,First Flight,delhi,29-Nov-2012,kanpur,3-Dec-2012,Return to origin
1912095,ZD6716946,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1912109,ZD6716862,First Flight,delhi,29-Nov-2012,lucknow,1-Dec-2012,Pending
1912140,ZD6716864,First Flight,delhi,28-Nov-2012,bhatinda,30-Nov-2012,Pending
1912141,ZD6716865,First Flight,delhi,30-Nov-2012,mirzapur,--,In Transit[Contact]
1912150,ZD6716867,First Flight,delhi,28-Nov-2012,ludhiana,--,In Transit[Contact]
1912156,ZD6716870,First Flight,delhi,28-Nov-2012,bhatinda,30-Nov-2012,Pending
1912190,ZD6716948,First Flight,delhi,28-Nov-2012,chandigarh,30-Nov-2012,Delivered
1912193,ZD6716949,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1912244,ZD6716876,First Flight,delhi,28-Nov-2012,patiala,3-Dec-2012,Delivered
1912249,ZD6716950,First Flight,delhi,28-Nov-2012,chandigarh,30-Nov-2012,Delivered
1912351,ZD6716958,First Flight,delhi,29-Nov-2012,patiala,--,In Transit[Contact]
1912524,ZD6716976,First Flight,delhi,28-Nov-2012,bhatinda,30-Nov-2012,Pending
1912556,ZD6716982,First Flight,delhi,28-Nov-2012,jodhpur,--,In Transit[Contact]
1912582,ZD6716986,First Flight,delhi,28-Nov-2012,bikaner,3-Dec-2012,Delivered
1912590,ZD6716987,First Flight,delhi,29-Nov-2012,lucknow,30-Nov-2012,Pending
1912673,ZD6717000,First Flight,delhi,28-Nov-2012,bikaner,3-Dec-2012,Delivered
1912695,ZD6717007,First Flight,,--,,1-Dec-2012,Return to origin
1912699,ZD6717008,First Flight,delhi,28-Nov-2012,delhi,30-Nov-2012,Delivered
1912785,R34203281,First Flight,beawar,27-Nov-2012,ghaziabad,29-Nov-2012,Delivered
1912787,ZD6717027,First Flight,delhi,29-Nov-2012,hardoi,3-Dec-2012,Delivered
1912791,ZD6717028,First Flight,delhi,29-Nov-2012,lucknow,30-Nov-2012,Pending
1912792,ZD6717686,First Flight,delhi,28-Nov-2012,vijayawada,--,In Transit[Contact]
1912793,ZD6717029,First Flight,delhi,28-Nov-2012,noida,1-Dec-2012,Return to origin
1912832,ZD6717039,First Flight,delhi,28-Nov-2012,gurgaon,29-Nov-2012,Pending
1912841,ZD6717040,First Flight,delhi,29-Nov-2012,lucknow,1-Dec-2012,Pending
1912886,ZD6717046,First Flight,delhi,29-Nov-2012,hardoi,3-Dec-2012,Delivered
1912937,ZD6717057,First Flight,delhi,28-Nov-2012,noida,29-Nov-2012,Pending
