Order No.,Tracking No,Carrier Name,Booked From,Booked Date,Delivered At,Deliver Date,Status Now
1895407,Z77929222,DTDC,,,,,
1895414,Z77929203,DTDC,,,,,
1895420,Z75241828,DTDC,,,,,
1895484,X01555852,DTDC,,,,,
1895546,Z77928988,DTDC,,,,,
1895693,Z75241826,DTDC,,,,,
1895694,Z77929219,DTDC,,,,,
1895747,Z77929204,DTDC,,,,,
1895766,Z78354163,DTDC,,,,,
1898978,Z78251709,DTDC,,,,,
1912458,A24568742,DTDC,,,,,
1915945,A24568744,DTDC,,,,,
1916023,A24568745,DTDC,,,,,
1918839,A24568743,DTDC,,,,,
1823226,d11163113,DTDC,,,,,
1868989,Z77931892,DTDC,,,,,
1878689,B88532647,DTDC,,,,,
1883463,Z77929374,DTDC,,,,,
1883489,Z77929375,DTDC,,,,,
1884064,Z77929379,DTDC,,,,,
1884603,Z77929384,DTDC,,,,,
1884690,Z77929385,DTDC,,,,,
1884776,Z77929387,DTDC,,,,,
1885002,Z77929393,DTDC,,,,,
1885027,Z77929395,DTDC,,,,,
1885082,Z77929235,DTDC,,,,,
1885337,D11115078,DTDC,,,,,
1885364,Z77929237,DTDC,,,,,
1885565,Z77929240,DTDC,,,,,
1885642,Z77929397,DTDC,,,,,
1885721,Z77929398,DTDC,,,,,
1885723,Z77929242,DTDC,,,,,
1886448,Z77929283,DTDC,,,,,
1886574,Z77929404,DTDC,,,,,
1886774,Z77929406,DTDC,,,,,
1886843,Z77929408,DTDC,,,,,
1886946,Z77929409,DTDC,,,,,
1887022,Z77929411,DTDC,,,,,
1887078,Z77929466,DTDC,,,,,
1887161,Z77929247,DTDC,,,,,
1887308,Z77929248,DTDC,,,,,
1887319,Z77929156,DTDC,,,,,
1887363,Z77929249,DTDC,,,,,
1887417,Z77929453,DTDC,,,,,
1887501,Z77929413,DTDC,,,,,
1887507,Z77929414,DTDC,,,,,
1887510,Z77929250,DTDC,,,,,
1887567,Z77929251,DTDC,,,,,
1887569,Z77929252,DTDC,,,,,
1887586,Z77929364,DTDC,,,,,
1887588,Z77929415,DTDC,,,,,
1887605,Z77929253,DTDC,,,,,
1887653,Z77929288,DTDC,,,,,
1887679,Z77929254,DTDC,,,,,
1887689,Z77929255,DTDC,,,,,
1887901,Z77929289,DTDC,,,,,
1887952,Z77929257,DTDC,,,,,
1888046,Z77929290,DTDC,,,,,
1888147,Z77929258,DTDC,,,,,
1888181,Z77929291,DTDC,,,,,
1888189,Z77929416,DTDC,,,,,
1888252,Z77929259,DTDC,,,,,
1888281,Z77929260,DTDC,,,,,
1888320,Z77929351,DTDC,,,,,
1888406,Z77929261,DTDC,,,,,
1888413,Z77929262,DTDC,,,,,
1888462,Z77929417,DTDC,,,,,
1888525,Z77929292,DTDC,,,,,
1888565,Z77929263,DTDC,,,,,
1888603,Z77929439,DTDC,,,,,
1888649,Z77929264,DTDC,,,,,
1888765,Z77929265,DTDC,,,,,
1888826,Z77929352,DTDC,,,,,
1888856,Z77929266,DTDC,,,,,
1888975,Z77929293,DTDC,,,,,
1888976,Z77929418,DTDC,,,,,
1888999,Z77929267,DTDC,,,,,
1889005,Z77929419,DTDC,,,,,
1889059,Z77929420,DTDC,,,,,
1889065,Z77929268,DTDC,,,,,
1889091,Z77929421,DTDC,,,,,
1889175,Z77929353,DTDC,,,,,
1889180,D11115079,DTDC,,,,,
1889342,Z77929269,DTDC,,,,,
1889349,Z77929422,DTDC,,,,,
1889546,Z77929270,DTDC,,,,,
1889570,Z77929271,DTDC,,,,,
1889632,Z77929365,DTDC,,,,,
1889662,Z77929272,DTDC,,,,,
1889674,Z77929273,DTDC,,,,,
1889736,Z77929274,DTDC,,,,,
1889745,B88532642,DTDC,,,,,
1889765,Z77929294,DTDC,,,,,
1889947,Z77929275,DTDC,,,,,
1890016,Z77929295,DTDC,,,,,
1890026,Z77929276,DTDC,,,,,
1890047,Z77929354,DTDC,,,,,
1890105,Z77929441,DTDC,,,,,
1890139,Z77929423,DTDC,,,,,
1890187,Z77929277,DTDC,,,,,
1890243,Z77929227,DTDC,,,,,
1890245,Z77929228,DTDC,,,,,
1890246,Z77929229,DTDC,,,,,
1890248,Z77929230,DTDC,,,,,
1890251,Z77929231,DTDC,,,,,
