Order No.,Tracking No,Carrier Name,Booked From,Booked Date,Delivered At,Deliver Date,Status Now
1888727,Z77928836,DTDC,,,VELLORE,Thu, Nov 29, 2012 11:20 AM,DELIVERED
1888751,Z77928850,DTDC,,,DELHI,,RTO IN TRANSIT
1905025,B88193380,DTDC,,,NOIDA,Fri, Nov 30, 2012 0:00 PM,DELIVERED
1828472,M78482296,DTDC,,,KOLKATA,Tue, Dec 04, 2012 3:00 PM,DELIVERED
1834487,M78482300,DTDC,,,RUDRAPUR,Sat, Dec 01, 2012 0:15 PM,DELIVERED
1872607,Z77929159,DTDC,,,INDORE,,RTO IN TRANSIT
1873658,A78498316,DTDC,,,,,
1874130,Z77933726,DTDC,,,DELHI,,RETURN TO ORIGIN
1874218,Z77933735,DTDC,,,DELHI,,RETURN TO ORIGIN
1874634,Z77933738,DTDC,,,DELHI,,IN TRANSIT
1874703,Z77933457,DTDC,,,PORT BLAIR,,IN TRANSIT
1875047,Z77933748,DTDC,,,KURNOOL,Tue, Dec 04, 2012 0:00 PM,DELIVERED
1875164,Z77933353,DTDC,,,KURNOOL,Tue, Dec 04, 2012 0:00 PM,DELIVERED
1875325,Z77933633,DTDC,,,DELHI,,IN TRANSIT
1875355,Z77933440,DTDC,,,COCHIN,Tue, Nov 27, 2012 11:00 AM,DELIVERED
1875620,Z77933363,DTDC,,,KURNOOL,Tue, Dec 04, 2012 0:00 PM,DELIVERED
1875681,Z77933678,DTDC,,,,,
1875848,Z77933652,DTDC,,,KURNOOL,Wed, Dec 05, 2012 1:48 PM,DELIVERED
1875859,Z77933661,DTDC,,,JABALPUR,,IN TRANSIT
1875940,Z77933641,DTDC,,,JABALPUR,,IN TRANSIT
1876186,Z77933354,DTDC,,,JALANDHAR,,OUT FOR DELIVERY
1876277,Z77933366,DTDC,,,JABALPUR,,IN TRANSIT
1876324,Z77933682,DTDC,,,JALANDHAR,,OUT FOR DELIVERY
1876523,Z77933701,DTDC,,,VAPI,,IN TRANSIT
1876604,Z77933762,DTDC,,,JALANDHAR,,OUT FOR DELIVERY
1877022,Z77933750,DTDC,,,RAIPUR,,IN TRANSIT
1877042,Z77933673,DTDC,,,JABALPUR,,IN TRANSIT
1877348,Z77933409,DTDC,,,CHENNAI,,IN TRANSIT
1877399,Z77933358,DTDC,,,JABALPUR,,IN TRANSIT
1877480,Z77933708,DTDC,,,SRINAGAR -JK,,IN TRANSIT
1877559,Z77933323,DTDC,,,DELHI,,RETURN TO ORIGIN
1877591,Z77933741,DTDC,,,ANKLESHWAR,,IN TRANSIT
1877673,Z77933423,DTDC,,,VIJAYAWADA,,IN TRANSIT
1877798,Z77933759,DTDC,,,DELHI,,REVERTED
1878156,Z77933,DTDC,,,,,
1878486,Z77933688,DTDC,,,BERHAMPUR -OR,Wed, Nov 28, 2012 11:05 AM,DELIVERED
1878604,Z77933436,DTDC,,,BURDWAN,Wed, Nov 28, 2012 11:05 AM,DELIVERED
1878875,Z77933612,DTDC,,,BURDWAN,Wed, Nov 28, 2012 0:25 PM,DELIVERED
1878946,Z77933442,DTDC,,,QUILON,Thu, Nov 29, 2012 0:00 PM,DELIVERED
1879165,Z77933373,DTDC,,,DELHI,,IN TRANSIT
1879314,Z77933607,DTDC,,,DELHI,,RETURN TO ORIGIN
1879350,Z77933659,DTDC,,,HYDERABAD,,OUT FOR DELIVERY
1879385,Z77933337,DTDC,,,DELHI,,IN TRANSIT
1879525,Z77933592,DTDC,,,DELHI,,RETURN TO ORIGIN
1879556,Z77933605,DTDC,,,DELHI,,REVERTED
1879617,Z77933336,DTDC,,,HYDERABAD,Tue, Dec 04, 2012 2:13 PM,DELIVERED
1879670,Z77933383,DTDC,,,INDORE,,RTO IN TRANSIT
1879753,Z77933620,DTDC,,,HISSAR,,RTO IN TRANSIT
1880002,Z77933420,DTDC,,,AHMEDABAD,,IN TRANSIT
1880101,Z77933611,DTDC,,,VIJAYAWADA,,IN TRANSIT
1880168,Z77933356,DTDC,,,RAJKOT,Tue, Nov 27, 2012 10:10 AM,DELIVERED
1880210,Z77933414,DTDC,,,QUILON,Tue, Nov 27, 2012 4:41 PM,DELIVERED
1880297,Z77933714,DTDC,,,,,
1880341,Z77933371,DTDC,,,DELHI,,IN TRANSIT
1880448,Z77933600,DTDC,,,VIJAYAWADA,,IN TRANSIT
1880643,Z77933361,DTDC,,,VIJAYAWADA,,IN TRANSIT
1880670,Z77933346,DTDC,,,QUILON,,IN TRANSIT
